"gene_id","gene_symbol"
"ENSG00000176058.13","TPRN"
"ENSG00000176463.14","SLCO3A1"
"ENSG00000176658.17","MYO1D"
"ENSG00000176720.6","BOK"
"ENSG00000180891.13","CUEDC1"
"ENSG00000180929.6","GPR62"
"ENSG00000182957.16","SPATA13"
"ENSG00000183111.12","ARHGEF37"
"ENSG00000184144.12","CNTN2"
"ENSG00000186340.17","THBS2"
"ENSG00000187147.19","RNF220"
"ENSG00000189058.9","APOD"
"ENSG00000196104.11","SPOCK3"
"ENSG00000196169.15","KIF19"
"ENSG00000196456.13","ZNF775"
"ENSG00000196517.13","SLC6A9"
"ENSG00000196547.15","MAN2A2"
"ENSG00000198740.9","ZNF652"
"ENSG00000204161.15","TMEM273"
"ENSG00000204323.5","SMIM5"
"ENSG00000204381.12","LAYN"
"ENSG00000206527.10","HACD2"
"ENSG00000213186.8","TRIM59"
"ENSG00000228716.7","DHFR"
"ENSG00000250722.6","SELENOP"
"ENSG00000254986.8","DPP3"
"ENSG00000257365.8","FNTB"
"ENSG00000265763.4","ZNF488"
"ENSG00000275832.5","ARHGAP23"
"ENSG00000276043.5","UHRF1"
"ENSG00000277494.2","GPIHBP1"
