"gene_id","gene_symbol"
"ENSG00000204228.4","HSD17B8"
"ENSG00000204839.9","MROH6"
"ENSG00000204970.10","PCDHA1"
"ENSG00000205808.7","PLPP6"
"ENSG00000205809.11","KLRC2"
"ENSG00000212916.6","MAP10"
"ENSG00000213937.4","CLDN9"
"ENSG00000215788.11","TNFRSF25"
"ENSG00000220201.8","ZGLP1"
"ENSG00000224420.4","ADM5"
"ENSG00000226763.5","SRRM5"
"ENSG00000232859.10","LYRM9"
"ENSG00000234776.5","C11orf94"
"ENSG00000241563.4","CORT"
"ENSG00000242110.9","AMACR"
"ENSG00000254858.10","MPV17L2"
"ENSG00000256514.1",NA
"ENSG00000257390.5",NA
"ENSG00000257529.5","RPL36A-HNRNPH2"
"ENSG00000259120.3","SMIM6"
"ENSG00000260428.3","SCX"
"ENSG00000267206.6","LCN6"
"ENSG00000268533.1",NA
"ENSG00000276600.5","RAB7B"
"ENSG00000277322.1","GOLGA6L6"
"ENSG00000283154.4","SCHIP1"
"ENSG00000283761.1",NA
"ENSG00000284776.1",NA
"ENSG00000284922.2","LRTOMT"
"ENSG00000285868.1",NA
